k,w,best_gc,average_density_factor,ragnars bound,1/sigma^k
5,87,167348807503889424228915492,3.120993,1.08E+26,1.55E+26
5,88,333699857126421322091615318,3.143158,2.13E+26,3.09E+26
5,89,665487245064486532918593610,3.168121,4.21E+26,6.19E+26
5,90,1327308208741972859118347411,3.190936,8.34E+26,1.24E+27
5,91,2647587031250380319124151834,3.215278,1.65E+27,2.48E+27
5,92,5281694756003285568483054330,3.239202,3.27E+27,4.95E+27
5,93,10537538678746639227624991451,3.264208,6.47E+27,9.90E+27
5,94,21025493902443086112606208848,3.287642,1.28E+28,1.98E+28
5,95,41955871995281951596837688726,3.312465,2.54E+28,3.96E+28
5,96,83729261662898869992661571930,3.33626,5.02E+28,7.92E+28
